Text_ID,Sentence_Number,Word_In_Sentence_Number,Word,Text,Sentence
1,1,1,There,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,2,are,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,3,now,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,4,rumblings,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,5,that,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,6,Apple,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,7,might,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,8,soon,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,9,invade,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,10,the,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,11,smart,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,12,watch,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,13,"space,","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
1,1,14,though,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song.","There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence."
